Time (UTC),Time (UTC+7),t_sec,Plane,SatInPlane,SatID,RAAN(deg),M0(deg),Azimuth (deg),Elevation (deg),Slant Range (m),Sat Lat (deg),Sat Lon (deg),Sat Alt (m)
2024-10-21 00:00:00.000,2024-10-21 07:00:00.000,0,1,2,P01-S02,72.0,198.0,192.3473489603326,10.643994617721164,1884511.9251097844,3.706305823282026,95.69809618711332,600088.666032942
2024-10-21 00:00:00.000,2024-10-21 07:00:00.000,0,3,3,P03-S03,216.0,324.0,241.9646042497534,0.9857285671774297,2721591.9471568298,7.062295135667347,78.66672148301987,600320.7811099999
2024-10-21 00:00:10.000,2024-10-21 07:00:10.000,10,1,2,P01-S02,72.0,198.0,190.32154706217332,11.015899960371321,1859780.3462102094,3.829805325948665,96.26591366036327,600094.6647022609
2024-10-21 00:00:10.000,2024-10-21 07:00:10.000,10,3,3,P03-S03,216.0,324.0,240.93039980127332,1.4258616396338921,2674848.5199952936,6.956096116916798,79.2410017608232,600311.2521831337
2024-10-21 00:00:20.000,2024-10-21 07:00:20.000,20,1,2,P01-S02,72.0,198.0,188.23830226280765,11.363338933803776,1837116.3818851702,3.952872037002804,96.83390463508006,600100.8367688153
2024-10-21 00:00:20.000,2024-10-21 07:00:20.000,20,3,3,P03-S03,216.0,324.0,239.85913254612194,1.8667250789239178,2628882.8260456384,6.849100550814144,79.81500578804092,600301.7949962635
2024-10-21 00:00:30.000,2024-10-21 07:00:30.000,30,1,2,P01-S02,72.0,198.0,186.10044690164753,11.683568451178639,1816599.9704121791,4.075491881679148,97.40207411721629,600107.1793353036
2024-10-21 00:00:30.000,2024-10-21 07:00:30.000,30,3,3,P03-S03,216.0,324.0,238.74935546384802,2.3078981537639836,2583741.0825624103,6.741321144746263,80.38873596273851,600292.4139876198
2024-10-21 00:00:40.000,2024-10-21 07:00:40.000,40,1,2,P01-S02,72.0,198.0,183.91154914685376,11.973875647316401,1798306.939367118,4.197650820426263,97.97042703758868,600113.6894244179
2024-10-21 00:00:40.000,2024-10-21 07:00:40.000,40,3,3,P03-S03,216.0,324.0,237.59961622492932,2.7488942212846403,2539471.848064813,6.632770677444773,80.96219480522588,600283.1135597434
2024-10-21 00:00:50.000,2024-10-21 07:00:50.000,50,1,2,P01-S02,72.0,198.0,181.6759239868247,12.231639924361314,1782307.839844724,4.31933485018685,98.5389682496756,600120.3639802318
